from,to,session_id,timestamp
competition,coach,138,2017-09-18 11:54:26.758000128
coach,exit,138,2017-09-18 11:54:26.758000128
track,route,139,2017-09-18 12:45:22.009999872
route,track,139,2017-09-18 12:45:26.334000128
track,team,139,2017-09-18 12:45:32.455000064
team,competition,139,2017-09-18 12:47:01.756999936
competition,coach,139,2017-09-18 12:47:23.528999936
coach,exit,139,2017-09-18 12:47:23.528999936
coach,team,140,2017-09-18 17:22:46.440999936
team,competition,140,2017-09-18 17:27:29.207000064
competition,team,140,2017-09-18 17:28:18.303000064
team,competition,140,2017-09-18 17:28:30.785999872
competition,team,140,2017-09-18 17:28:34.127000064
team,coach,140,2017-09-18 17:29:57.555000064
coach,badges,140,2017-09-18 17:33:57.164999936
badges,track,140,2017-09-18 17:35:04.628000000
track,exit,140,2017-09-18 17:35:04.628000000
track,routes,141,2017-09-19 07:47:54.299000064
routes,route,141,2017-09-19 07:48:05.275000064
route,routes,141,2017-09-19 07:48:11.155000064
routes,route,141,2017-09-19 07:48:13.752999936
route,routes,141,2017-09-19 07:48:17.796999936
routes,route,141,2017-09-19 07:48:20.520000000
route,routes,141,2017-09-19 07:48:23.902000128
routes,route,141,2017-09-19 07:48:28.318000128
route,routes,141,2017-09-19 07:48:34.427000064
routes,route,141,2017-09-19 07:48:41.612000000
